procs|alg|input|items|utc|ts|duration
1|bucketsort|interleaved|100|13 Jun 2019  4:06:33.125218|1560398793125243|0.001000
1|bucketsort|interleaved|1000|13 Jun 2019  4:06:33.125965|1560398793125982|0.050000
1|bucketsort|interleaved|10000|13 Jun 2019  4:06:33.176544|1560398793176567|5.353000
1|bucketsort|bucketed|10|13 Jun 2019  4:06:38.532420|1560398798532453|0.001000
1|bucketsort|bucketed|100|13 Jun 2019  4:06:38.532607|1560398798532631|0.001000
1|bucketsort|bucketed|1000|13 Jun 2019  4:06:38.533778|1560398798533804|0.062000
1|bucketsort|bucketed|10000|13 Jun 2019  4:06:38.596789|1560398798596814|5.190000
2|dummy_sort|constant|10|13 Jun 2019  4:06:43.815501|1560398803815532|0.001000
2|dummy_sort|constant|100|13 Jun 2019  4:06:43.815622|1560398803815646|0.000000
2|dummy_sort|constant|1000|13 Jun 2019  4:06:43.816229|1560398803816255|0.036000
2|dummy_sort|constant|10000|13 Jun 2019  4:06:43.851881|1560398803851909|3.230000
2|dummy_sort|sorted|10|13 Jun 2019  4:06:47.081968|1560398807081988|0.000000
2|dummy_sort|sorted|100|13 Jun 2019  4:06:47.082053|1560398807082068|0.000000
2|dummy_sort|sorted|1000|13 Jun 2019  4:06:47.082442|1560398807082458|0.033000
2|dummy_sort|sorted|10000|13 Jun 2019  4:06:47.114914|1560398807114937|8.959000
2|dummy_sort|reversed|10|13 Jun 2019  4:06:56.074940|1560398816074992|0.000000
2|dummy_sort|reversed|100|13 Jun 2019  4:06:56.075145|1560398816075189|0.001000
2|dummy_sort|reversed|1000|13 Jun 2019  4:06:56.076406|1560398816076453|0.092000
2|dummy_sort|reversed|10000|13 Jun 2019  4:06:56.168040|1560398816168094|9.624000
2|dummy_sort|random|10|13 Jun 2019  4:07:05.793306|1560398825793357|0.000000
2|dummy_sort|random|100|13 Jun 2019  4:07:05.793516|1560398825793560|0.001000
2|dummy_sort|random|1000|13 Jun 2019  4:07:05.794750|1560398825794797|0.098000
2|dummy_sort|random|10000|13 Jun 2019  4:07:05.894003|1560398825894059|7.773000
2|dummy_sort|interleaved|8|13 Jun 2019  4:07:13.671797|1560398833671836|0.000000
2|dummy_sort|interleaved|100|13 Jun 2019  4:07:13.671946|1560398833671970|0.000000
2|dummy_sort|interleaved|1000|13 Jun 2019  4:07:13.672620|1560398833672645|0.044000
2|dummy_sort|interleaved|10000|13 Jun 2019  4:07:13.717854|1560398833717886|4.505000
2|dummy_sort|bucketed|10|13 Jun 2019  4:07:18.225589|1560398838225615|0.000000
2|dummy_sort|bucketed|100|13 Jun 2019  4:07:18.225698|1560398838225719|0.000000
2|dummy_sort|bucketed|1000|13 Jun 2019  4:07:18.226564|1560398838226599|0.044000
2|dummy_sort|bucketed|10000|13 Jun 2019  4:07:18.271265|1560398838271295|4.452000
2|insertion_sort|constant|10|13 Jun 2019  4:07:22.725988|1560398842726009|0.000000
2|insertion_sort|constant|100|13 Jun 2019  4:07:22.726079|1560398842726094|0.001000
2|insertion_sort|constant|1000|13 Jun 2019  4:07:22.726839|1560398842726862|0.052000
2|insertion_sort|constant|10000|13 Jun 2019  4:07:22.779554|1560398842779581|5.348000
2|insertion_sort|sorted|10|13 Jun 2019  4:07:28.129063|1560398848129089|0.000000
2|insertion_sort|sorted|100|13 Jun 2019  4:07:28.129187|1560398848129206|0.001000
2|insertion_sort|sorted|1000|13 Jun 2019  4:07:28.129973|1560398848129996|0.059000
2|insertion_sort|sorted|10000|13 Jun 2019  4:07:28.189613|1560398848189647|5.827000
2|insertion_sort|reversed|10|13 Jun 2019  4:07:34.017391|1560398854017411|0.000000
2|insertion_sort|reversed|100|13 Jun 2019  4:07:34.017481|1560398854017496|0.001000
2|insertion_sort|reversed|1000|13 Jun 2019  4:07:34.018046|1560398854018063|0.056000
2|insertion_sort|reversed|10000|13 Jun 2019  4:07:34.074128|1560398854074153|5.821000
2|insertion_sort|random|10|13 Jun 2019  4:07:39.895759|1560398859895786|0.000000
2|insertion_sort|random|100|13 Jun 2019  4:07:39.895893|1560398859895912|0.001000
2|insertion_sort|random|1000|13 Jun 2019  4:07:39.896906|1560398859896936|0.062000
2|insertion_sort|random|10000|13 Jun 2019  4:07:39.959754|1560398859959779|5.840000
2|insertion_sort|interleaved|8|13 Jun 2019  4:07:45.804426|1560398865804460|0.000000
2|insertion_sort|interleaved|100|13 Jun 2019  4:07:45.804571|1560398865804595|0.000000
2|insertion_sort|interleaved|1000|13 Jun 2019  4:07:45.805632|1560398865805661|0.056000
2|insertion_sort|interleaved|10000|13 Jun 2019  4:07:45.862571|1560398865862617|5.912000
2|insertion_sort|bucketed|10|13 Jun 2019  4:07:51.778078|1560398871778111|0.000000
2|insertion_sort|bucketed|100|13 Jun 2019  4:07:51.778230|1560398871778254|0.001000
2|insertion_sort|bucketed|1000|13 Jun 2019  4:07:51.779465|1560398871779501|0.067000
2|insertion_sort|bucketed|10000|13 Jun 2019  4:07:51.846503|1560398871846531|5.874000
2|quicksort_left|constant|10|13 Jun 2019  4:07:57.723825|1560398877723851|0.000000
2|quicksort_left|constant|100|13 Jun 2019  4:07:57.723932|1560398877723949|0.000000
2|quicksort_left|constant|1000|13 Jun 2019  4:07:57.724601|1560398877724620|0.062000
2|quicksort_left|constant|10000|13 Jun 2019  4:07:57.787004|1560398877787030|5.338000
2|quicksort_left|sorted|10|13 Jun 2019  4:08:03.125392|1560398883125417|0.000000
2|quicksort_left|sorted|100|13 Jun 2019  4:08:03.125504|1560398883125523|0.001000
2|quicksort_left|sorted|1000|13 Jun 2019  4:08:03.126281|1560398883126307|0.060000
2|quicksort_left|sorted|10000|13 Jun 2019  4:08:03.186199|1560398883186224|5.682000
2|quicksort_left|reversed|10|13 Jun 2019  4:08:08.868814|1560398888868844|0.000000
2|quicksort_left|reversed|100|13 Jun 2019  4:08:08.868958|1560398888868996|0.001000
2|quicksort_left|reversed|1000|13 Jun 2019  4:08:08.870109|1560398888870139|0.063000
2|quicksort_left|reversed|10000|13 Jun 2019  4:08:08.933555|1560398888933587|7.633000
2|quicksort_left|random|10|13 Jun 2019  4:08:16.567955|1560398896567996|0.000000
2|quicksort_left|random|100|13 Jun 2019  4:08:16.568138|1560398896568172|0.001000
2|quicksort_left|random|1000|13 Jun 2019  4:08:16.569486|1560398896569530|0.077000
2|quicksort_left|random|10000|13 Jun 2019  4:08:16.646465|1560398896646509|7.638000
2|quicksort_left|interleaved|8|13 Jun 2019  4:08:24.290392|1560398904290433|0.000000
2|quicksort_left|interleaved|100|13 Jun 2019  4:08:24.290565|1560398904290599|0.001000
2|quicksort_left|interleaved|1000|13 Jun 2019  4:08:24.292157|1560398904292201|0.098000
2|quicksort_left|interleaved|10000|13 Jun 2019  4:08:24.390765|1560398904390809|8.943000
2|quicksort_left|bucketed|10|13 Jun 2019  4:08:33.337955|1560398913337998|0.000000
2|quicksort_left|bucketed|100|13 Jun 2019  4:08:33.338138|1560398913338173|0.001000
2|quicksort_left|bucketed|1000|13 Jun 2019  4:08:33.339411|1560398913339462|0.075000
2|quicksort_left|bucketed|10000|13 Jun 2019  4:08:33.414453|1560398913414497|7.547000
2|quicksort_right|constant|10|13 Jun 2019  4:08:40.968022|1560398920968066|0.000000
2|quicksort_right|constant|100|13 Jun 2019  4:08:40.968222|1560398920968256|0.002000
2|quicksort_right|constant|1000|13 Jun 2019  4:08:40.969793|1560398920969829|0.096000
2|quicksort_right|constant|10000|13 Jun 2019  4:08:41.066736|1560398921066780|9.592000
2|quicksort_right|sorted|10|13 Jun 2019  4:08:50.659186|1560398930659227|0.000000
2|quicksort_right|sorted|100|13 Jun 2019  4:08:50.659360|1560398930659394|0.002000
2|quicksort_right|sorted|1000|13 Jun 2019  4:08:50.660995|1560398930661147|0.104000
2|quicksort_right|sorted|10000|13 Jun 2019  4:08:50.765720|1560398930765771|10.504000
2|quicksort_right|reversed|10|13 Jun 2019  4:09:01.270751|1560398941270792|0.000000
2|quicksort_right|reversed|100|13 Jun 2019  4:09:01.270925|1560398941270959|0.001000
2|quicksort_right|reversed|1000|13 Jun 2019  4:09:01.272487|1560398941272523|0.109000
2|quicksort_right|reversed|10000|13 Jun 2019  4:09:01.382219|1560398941382291|10.340000
2|quicksort_right|random|10|13 Jun 2019  4:09:11.722242|1560398951722283|0.000000
2|quicksort_right|random|100|13 Jun 2019  4:09:11.722415|1560398951722449|0.001000
2|quicksort_right|random|1000|13 Jun 2019  4:09:11.723525|1560398951723562|0.074000
2|quicksort_right|random|10000|13 Jun 2019  4:09:11.798782|1560398951798825|5.343000
2|quicksort_right|interleaved|8|13 Jun 2019  4:09:17.145231|1560398957145253|0.000000
2|quicksort_right|interleaved|100|13 Jun 2019  4:09:17.145324|1560398957145339|0.001000
2|quicksort_right|interleaved|1000|13 Jun 2019  4:09:17.146708|1560398957146743|0.068000
2|quicksort_right|interleaved|10000|13 Jun 2019  4:09:17.215895|1560398957215945|5.389000
2|quicksort_right|bucketed|10|13 Jun 2019  4:09:22.609372|1560398962609427|0.000000
2|quicksort_right|bucketed|100|13 Jun 2019  4:09:22.609582|1560398962609611|0.004000
2|quicksort_right|bucketed|1000|13 Jun 2019  4:09:22.614099|1560398962614159|0.057000
2|quicksort_right|bucketed|10000|13 Jun 2019  4:09:22.671763|1560398962671797|4.510000
2|quicksort_random|constant|10|13 Jun 2019  4:09:27.185538|1560398967185558|0.000000
2|quicksort_random|constant|100|13 Jun 2019  4:09:27.185702|1560398967185720|0.000000
2|quicksort_random|constant|1000|13 Jun 2019  4:09:27.186410|1560398967186427|0.058000
2|quicksort_random|constant|10000|13 Jun 2019  4:09:27.244959|1560398967245003|5.670000
2|quicksort_random|sorted|10|13 Jun 2019  4:09:32.915087|1560398972915111|0.000000
2|quicksort_random|sorted|100|13 Jun 2019  4:09:32.915223|1560398972915242|0.001000
2|quicksort_random|sorted|1000|13 Jun 2019  4:09:32.915871|1560398972915892|0.051000
2|quicksort_random|sorted|10000|13 Jun 2019  4:09:32.967285|1560398972967310|4.433000
2|quicksort_random|reversed|10|13 Jun 2019  4:09:37.400921|1560398977400949|0.000000
2|quicksort_random|reversed|100|13 Jun 2019  4:09:37.401072|1560398977401094|0.001000
2|quicksort_random|reversed|1000|13 Jun 2019  4:09:37.401844|1560398977401871|0.051000
2|quicksort_random|reversed|10000|13 Jun 2019  4:09:37.452922|1560398977452949|4.576000
2|quicksort_random|random|10|13 Jun 2019  4:09:42.029378|1560398982029409|0.000000
2|quicksort_random|random|100|13 Jun 2019  4:09:42.029536|1560398982029554|0.000000
2|quicksort_random|random|1000|13 Jun 2019  4:09:42.030328|1560398982030382|0.053000
2|quicksort_random|random|10000|13 Jun 2019  4:09:42.083152|1560398982083175|4.600000
2|quicksort_random|interleaved|8|13 Jun 2019  4:09:46.686079|1560398986686100|0.000000
2|quicksort_random|interleaved|100|13 Jun 2019  4:09:46.686199|1560398986686214|0.001000
